instrument,ref_month,release_date,asof,effective_asof,frozen,call_bp,realized_bp,deviation_bp,bench_seasonal_naive_bp,bench_ar1_bp,bench_zero_bp,attribution
cpi_headline,2019-01-01,2019-02-11,2019-02-08,2019-02-07,True,19.67,19.07,0.61,30.08,-31.94,0.0,"{'SETB01': -480.7, 'SETA02': -65.4}"
cpi_core,2019-01-01,2019-02-11,2019-02-08,2019-02-07,True,27.85,40.1,-12.25,26.38,-0.85,0.0,"{'SETB01': -480.7, 'SETA02': -65.4}"
cpi_headline,2019-02-01,2019-03-12,2019-03-09,2019-03-08,True,38.06,42.27,-4.21,42.59,19.07,0.0,"{'SETB01': 264.0, 'SETA02': -51.2}"
cpi_core,2019-02-01,2019-03-12,2019-03-09,2019-03-08,True,36.17,38.14,-1.97,37.5,40.1,0.0,"{'SETB01': 264.0, 'SETA02': -51.2}"
cpi_headline,2019-03-01,2019-04-10,2019-04-07,2019-04-06,True,45.49,56.41,-10.92,49.66,42.27,0.0,"{'SETB01': 864.0, 'SETA02': -80.7}"
cpi_core,2019-03-01,2019-04-10,2019-04-07,2019-04-06,True,23.82,27.65,-3.83,29.7,38.14,0.0,"{'SETB01': 864.0, 'SETA02': -80.7}"
cpi_headline,2019-04-01,2019-05-10,2019-05-07,2019-05-06,True,49.01,52.95,-3.94,31.79,56.41,0.0,"{'SETB01': 1083.1, 'SETA02': -5.5}"
cpi_core,2019-04-01,2019-05-10,2019-05-07,2019-05-06,True,18.05,18.94,-0.9,20.43,27.65,0.0,"{'SETB01': 1083.1, 'SETA02': -5.5}"
cpi_headline,2019-05-01,2019-06-12,2019-06-09,2019-06-08,True,25.36,21.29,4.07,28.7,52.95,0.0,"{'SETB01': 209.8, 'SETA02': 28.7}"
cpi_core,2019-05-01,2019-06-12,2019-06-09,2019-06-08,True,18.73,9.83,8.9,15.45,18.94,0.0,"{'SETB01': 209.8, 'SETA02': 28.7}"
cpi_headline,2019-06-01,2019-07-11,2019-07-08,2019-07-07,True,7.03,1.99,5.04,13.77,21.29,0.0,"{'SETB01': -484.3, 'SETA02': 89.7}"
cpi_core,2019-06-01,2019-07-11,2019-07-08,2019-07-07,True,14.32,22.35,-8.04,9.59,9.83,0.0,"{'SETB01': -484.3, 'SETA02': 89.7}"
cpi_headline,2019-07-01,2019-08-13,2019-08-10,2019-08-09,True,9.35,16.71,-7.36,-3.64,1.99,0.0,"{'SETB01': 86.2, 'SETA02': 42.1}"
